pos_x,pos_y,map_bank,map_num,in_battle,direction,action,q_value
7,7,0,9,0,1,3,0.0
7,7,0,9,0,1,4,0.0
7,7,0,9,0,1,5,0.0
7,6,0,9,0,0,0,1.3510000000000009
7,6,0,9,0,0,1,0.0
7,6,0,9,0,0,2,0.0
7,6,0,9,0,0,3,0.0
7,6,0,9,0,0,4,0.0
7,6,0,9,0,0,5,0.0
7,5,0,9,0,0,0,1.450000000000001
7,5,0,9,0,0,1,0.0
7,5,0,9,0,0,2,0.0
7,5,0,9,0,0,3,0.0
7,5,0,9,0,0,4,0.0
7,5,0,9,0,0,5,0.0
7,4,0,9,0,0,0,0.0
7,4,0,9,0,0,1,0.0
7,4,0,9,0,0,2,0.0
7,4,0,9,0,0,3,1.548000000000001
7,4,0,9,0,0,4,0.0
7,4,0,9,0,0,5,1.449000000000001
8,4,0,9,0,3,0,1.6470000000000011
8,4,0,9,0,3,1,0.0
8,4,0,9,0,3,2,0.0
8,4,0,9,0,3,3,0.0
8,4,0,9,0,3,4,0.0
8,4,0,9,0,3,5,0.0
8,3,0,9,0,0,0,1.7460000000000009
8,3,0,9,0,0,1,0.0
8,3,0,9,0,0,2,0.0
8,3,0,9,0,0,3,0.0
8,3,0,9,0,0,4,0.0
8,3,0,9,0,0,5,0.0
8,2,0,9,0,0,0,1.9167550000000007
8,2,0,9,0,0,1,0.0
8,2,0,9,0,0,2,0.0
8,2,0,9,0,0,3,1.8430000000000004
8,2,0,9,0,0,4,1.7450000000000008
8,2,0,9,0,0,5,0.0
9,2,0,9,0,3,0,0.0
9,2,0,9,0,3,1,0.0
9,2,0,9,0,3,2,1.8420000000000003
9,2,0,9,0,3,3,0.0
9,2,0,9,0,3,4,0.0
9,2,0,9,0,3,5,0.0
8,2,0,9,0,2,0,0.0
8,2,0,9,0,2,1,1.8389999999999997
8,2,0,9,0,2,2,0.0
8,2,0,9,0,2,3,0.0
8,2,0,9,0,2,4,2.022259
8,2,0,9,0,2,5,1.8410000000000002
8,3,0,9,0,1,0,0.0
8,3,0,9,0,1,1,0.0
8,3,0,9,0,1,2,0.0
8,3,0,9,0,1,3,1.9369999999999994
8,3,0,9,0,1,4,0.0
8,3,0,9,0,1,5,1.8379999999999996
9,3,0,9,0,3,0,0.0
9,3,0,9,0,3,1,0.0
9,3,0,9,0,3,2,0.0
9,3,0,9,0,3,3,2.035999999999999
9,3,0,9,0,3,4,0.0
9,3,0,9,0,3,5,0.0
10,3,0,9,0,3,0,2.1349999999999993
10,3,0,9,0,3,1,0.0
10,3,0,9,0,3,2,0.0
10,3,0,9,0,3,3,0.0
10,3,0,9,0,3,4,0.0
10,3,0,9,0,3,5,0.0
10,2,0,9,0,0,0,0.0
10,2,0,9,0,0,1,0.0
10,2,0,9,0,0,2,0.0
10,2,0,9,0,0,3,2.233999999999999
10,2,0,9,0,0,4,0.0
10,2,0,9,0,0,5,0.0
11,2,0,9,0,3,0,2.332999999999999
11,2,0,9,0,3,1,0.0
11,2,0,9,0,3,2,0.0
11,2,0,9,0,3,3,7.961999999999964
11,2,0,9,0,3,4,0.0
11,2,0,9,0,3,5,0.0
11,1,0,9,0,0,0,2.4319999999999986
11,1,0,9,0,0,1,0.0
11,1,0,9,0,0,2,9.515779442562739
11,1,0,9,0,0,3,0.0
11,1,0,9,0,0,4,8.199767999999962
11,1,0,9,0,0,5,0.0
11,0,0,9,0,0,0,18.577934092604945
11,0,0,9,0,0,1,0.0
11,0,0,9,0,0,2,0.0
11,0,0,9,0,0,3,0.0
11,0,0,9,0,0,4,0.0
11,0,0,9,0,0,5,0.0
11,19,0,16,0,0,0,17.165101476794938
11,19,0,16,0,0,1,38.889233258636246
11,19,0,16,0,0,2,0.0
11,19,0,16,0,0,3,18.671582578434517
11,19,0,16,0,0,4,39.906958078762976
11,19,0,16,0,0,5,7.5299999999999985
11,0,0,9,0,1,0,27.88953422807242
11,0,0,9,0,1,1,7.691999999999979
11,0,0,9,0,1,2,15.230274999999988
11,0,0,9,0,1,3,9.754382671439878
11,0,0,9,0,1,4,22.650424527999988
11,0,0,9,0,1,5,0.0
10,0,0,9,0,2,0,7.874999999999971
10,0,0,9,0,2,1,7.8709999999999685
10,0,0,9,0,2,2,8.365874999999988
10,0,0,9,0,2,3,15.299978529999983
10,0,0,9,0,2,4,16.88509733696996
10,0,0,9,0,2,5,9.29169787446997
11,0,0,9,0,3,0,28.335631317433126
11,0,0,9,0,3,1,8.544408999999971
11,0,0,9,0,3,2,9.543624636359995
11,0,0,9,0,3,3,0.0
11,0,0,9,0,3,4,0.0
11,0,0,9,0,3,5,15.298078529999984
11,18,0,16,0,0,0,0.0
11,18,0,16,0,0,1,0.0
11,18,0,16,0,0,2,8.042999999999955
11,18,0,16,0,0,3,7.699999999999983
11,18,0,16,0,0,4,23.087893704999956
11,18,0,16,0,0,5,18.291656861294964
11,18,0,16,0,3,0,0.0
11,18,0,16,0,3,1,7.697999999999983
11,18,0,16,0,3,2,0.0
11,18,0,16,0,3,3,0.0
11,18,0,16,0,3,4,0.0
11,18,0,16,0,3,5,7.698999999999983
11,19,0,16,0,1,0,0.0
11,19,0,16,0,1,1,0.0
11,19,0,16,0,1,2,0.0
11,19,0,16,0,1,3,7.696999999999981
11,19,0,16,0,1,4,0.0
11,19,0,16,0,1,5,0.0
11,19,0,16,0,3,0,0.0
11,19,0,16,0,3,1,19.65261671402391
11,19,0,16,0,3,2,0.0
11,19,0,16,0,3,3,0.0
11,19,0,16,0,3,4,0.0
11,19,0,16,0,3,5,0.0
11,1,0,9,0,1,0,0.0
11,1,0,9,0,1,1,0.0
11,1,0,9,0,1,2,8.552813999999971
11,1,0,9,0,1,3,7.6909999999999785
11,1,0,9,0,1,4,0.0
11,1,0,9,0,1,5,0.0
11,1,0,9,0,3,0,8.69656899999996
11,1,0,9,0,3,1,0.0
11,1,0,9,0,3,2,16.522079442562717
11,1,0,9,0,3,3,7.689999999999978
11,1,0,9,0,3,4,16.129859689999954
11,1,0,9,0,3,5,0.0
10,1,0,9,0,2,0,15.735145884472502
10,1,0,9,0,2,1,0.0
10,1,0,9,0,2,2,31.658772533550597
10,1,0,9,0,2,3,18.18615636319263
10,1,0,9,0,2,4,0.0
10,1,0,9,0,2,5,17.90110540996271
10,0,0,9,0,0,0,0.0
10,0,0,9,0,0,1,0.0
10,0,0,9,0,0,2,9.29269787446997
10,0,0,9,0,0,3,9.592382671439896
10,0,0,9,0,0,4,0.0
10,0,0,9,0,0,5,0.0
10,19,0,16,0,0,0,0.0
10,19,0,16,0,0,1,7.87399999999997
10,19,0,16,0,0,2,0.0
10,19,0,16,0,0,3,0.0
10,19,0,16,0,0,4,0.0
10,19,0,16,0,0,5,0.0
10,0,0,9,0,1,0,0.0
10,0,0,9,0,1,1,0.0
10,0,0,9,0,1,2,0.0
10,0,0,9,0,1,3,9.68138267143989
10,0,0,9,0,1,4,0.0
10,0,0,9,0,1,5,0.0
10,1,0,9,0,1,0,0.0
10,1,0,9,0,1,1,7.869999999999968
10,1,0,9,0,1,2,0.0
10,1,0,9,0,1,3,0.0
10,1,0,9,0,1,4,0.0
10,1,0,9,0,1,5,0.0
10,2,0,9,0,1,0,0.0
10,2,0,9,0,1,1,0.0
10,2,0,9,0,1,2,7.867999999999967
10,2,0,9,0,1,3,0.0
10,2,0,9,0,1,4,7.868999999999968
10,2,0,9,0,1,5,0.0
9,2,0,9,0,2,0,0.0
9,2,0,9,0,2,1,7.865999999999966
9,2,0,9,0,2,2,0.0
9,2,0,9,0,2,3,0.0
9,2,0,9,0,2,4,0.0
9,2,0,9,0,2,5,7.866999999999966
9,3,0,9,0,1,0,7.864999999999966
9,3,0,9,0,1,1,0.0
9,3,0,9,0,1,2,0.0
9,3,0,9,0,1,3,0.0
9,3,0,9,0,1,4,0.0
9,3,0,9,0,1,5,0.0
9,2,0,9,0,0,0,0.0
9,2,0,9,0,0,1,0.0
9,2,0,9,0,0,2,0.0
9,2,0,9,0,0,3,7.863999999999965
9,2,0,9,0,0,4,0.0
9,2,0,9,0,0,5,0.0
10,2,0,9,0,3,0,0.0
10,2,0,9,0,3,1,0.0
10,2,0,9,0,3,2,0.0
10,2,0,9,0,3,3,8.093966999999964
10,2,0,9,0,3,4,0.0
10,2,0,9,0,3,5,0.0
12,2,0,9,0,3,0,0.0
12,2,0,9,0,3,1,0.0
12,2,0,9,0,3,2,7.960999999999963
12,2,0,9,0,3,3,0.0
12,2,0,9,0,3,4,0.0
12,2,0,9,0,3,5,0.0
11,2,0,9,0,2,0,8.200767999999963
11,2,0,9,0,2,1,0.0
11,2,0,9,0,2,2,0.0
11,2,0,9,0,2,3,0.0
11,2,0,9,0,2,4,0.0
11,2,0,9,0,2,5,0.0
10,18,0,16,0,2,0,0.0
10,18,0,16,0,2,1,8.037999999999952
10,18,0,16,0,2,2,8.914878641999946
10,18,0,16,0,2,3,0.0
10,18,0,16,0,2,4,16.159372985557905
10,18,0,16,0,2,5,8.837157999999949
10,19,0,16,0,1,0,8.036999999999951
10,19,0,16,0,1,1,0.0
10,19,0,16,0,1,2,0.0
10,19,0,16,0,1,3,0.0
10,19,0,16,0,1,4,0.0
10,19,0,16,0,1,5,0.0
10,18,0,16,0,0,0,8.133999999999949
10,18,0,16,0,0,1,0.0
10,18,0,16,0,0,2,0.0
10,18,0,16,0,0,3,0.0
10,18,0,16,0,0,4,8.03599999999995
10,18,0,16,0,0,5,8.830563999999944
10,17,0,16,0,0,0,8.230999999999948
10,17,0,16,0,0,1,0.0
10,17,0,16,0,0,2,0.0
10,17,0,16,0,0,3,0.0
10,17,0,16,0,0,4,0.0
10,17,0,16,0,0,5,16.256866999999897
10,16,0,16,0,0,0,0.0
10,16,0,16,0,0,1,0.0
10,16,0,16,0,0,2,8.329999999999947
